  SUPERVISOR                  ID_EMPLEADO       NOMBRE_EMPLEADO        SUELDO_NETO   
               Id empleado: 1,     Datos: Denis Tyler     4278.91,     Padre: 0
Denis Tyler   Id empleado: 2,     Datos: Clarissa Parker     2880.68,     Padre: 1
Clarissa Parker   Id empleado: 6,     Datos: Boris Wallace     2804.77,     Padre: 2
Boris Wallace   Id empleado: 23,     Datos: Cassandra Connell     3806.01,     Padre: 6
Boris Wallace   Id empleado: 24,     Datos: Deborah Nurton     3169.95,     Padre: 6
Deborah Nurton   Id empleado: 65,     Datos: Chadwick Bennett     4576.41,     Padre: 24
Chadwick Bennett   Id empleado: 155,     Datos: Christine Herbert     3296.4,     Padre: 65
Christine Herbert   Id empleado: 317,     Datos: Benjamin Gibbons     3793.49,     Padre: 155
Christine Herbert   Id empleado: 318,     Datos: Hanna Warden     4078,     Padre: 155
Christine Herbert   Id empleado: 319,     Datos: Michael Pitt     3270,     Padre: 155
Christine Herbert   Id empleado: 320,     Datos: Nate Collins     2955.31,     Padre: 155
Christine Herbert   Id empleado: 321,     Datos: Ron Squire     2662.88,     Padre: 155
Christine Herbert   Id empleado: 322,     Datos: Nathan Summers     3240.18,     Padre: 155
Deborah Nurton   Id empleado: 66,     Datos: Liam Knight     3161.2,     Padre: 24
Deborah Nurton   Id empleado: 67,     Datos: Ramon Ellison     3675.35,     Padre: 24
Boris Wallace   Id empleado: 25,     Datos: Teagan Roberts     3786.57,     Padre: 6
Clarissa Parker   Id empleado: 7,     Datos: Maria Alexander     4185.38,     Padre: 2
Maria Alexander   Id empleado: 26,     Datos: Boris Spencer     3904.61,     Padre: 7
Boris Spencer   Id empleado: 68,     Datos: Alan Wilde     4027.23,     Padre: 26
Boris Spencer   Id empleado: 69,     Datos: Rosie Hunt     3068.17,     Padre: 26
Boris Spencer   Id empleado: 70,     Datos: Percy Sherwood     4132.39,     Padre: 26
Percy Sherwood   Id empleado: 156,     Datos: Charlize Miller     3029.75,     Padre: 70
Charlize Miller   Id empleado: 323,     Datos: Hank Ripley     4099.42,     Padre: 156
Charlize Miller   Id empleado: 324,     Datos: Quinn Price     4175.54,     Padre: 156
Charlize Miller   Id empleado: 325,     Datos: Melody Ventura     3814,     Padre: 156
Percy Sherwood   Id empleado: 157,     Datos: Mike Barclay     3301.6,     Padre: 70
Mike Barclay   Id empleado: 326,     Datos: Tom Drew     4098.38,     Padre: 157
Mike Barclay   Id empleado: 327,     Datos: Kaylee Stanley     3060.62,     Padre: 157
Mike Barclay   Id empleado: 328,     Datos: Bryon Williams     2758.56,     Padre: 157
Mike Barclay   Id empleado: 329,     Datos: Shay Hamilton     3965.04,     Padre: 157
Percy Sherwood   Id empleado: 158,     Datos: Carl Hood     3643.03,     Padre: 70
Carl Hood   Id empleado: 330,     Datos: Miley Murray     3895.59,     Padre: 158
Carl Hood   Id empleado: 331,     Datos: Joseph Emmett     3686.94,     Padre: 158
Carl Hood   Id empleado: 332,     Datos: Alessia Groves     4285.14,     Padre: 158
Boris Spencer   Id empleado: 71,     Datos: Jackeline Tobin     3739.09,     Padre: 26
Jackeline Tobin   Id empleado: 159,     Datos: Blake Noon     3907.5,     Padre: 71
Blake Noon   Id empleado: 333,     Datos: Doug Stark     3706.12,     Padre: 159
Blake Noon   Id empleado: 334,     Datos: Bob Wilson     3164.46,     Padre: 159
Blake Noon   Id empleado: 335,     Datos: Matthew Robinson     2531.83,     Padre: 159
Blake Noon   Id empleado: 336,     Datos: Bart Pitt     3544.63,     Padre: 159
Jackeline Tobin   Id empleado: 160,     Datos: Bryce Calderwood     2953.13,     Padre: 71
Bryce Calderwood   Id empleado: 337,     Datos: Logan Gibson     4327.73,     Padre: 160
Bryce Calderwood   Id empleado: 338,     Datos: Willow Giles     3453.81,     Padre: 160
Bryce Calderwood   Id empleado: 339,     Datos: Caitlyn Moss     4144.65,     Padre: 160
Bryce Calderwood   Id empleado: 340,     Datos: Blake Collins     4037.49,     Padre: 160
Jackeline Tobin   Id empleado: 161,     Datos: Beatrice Bradshaw     3350.09,     Padre: 71
Beatrice Bradshaw   Id empleado: 341,     Datos: Marvin Powell     2990.11,     Padre: 161
Beatrice Bradshaw   Id empleado: 342,     Datos: Hank Reading     3656.94,     Padre: 161
Maria Alexander   Id empleado: 27,     Datos: Sabrina Robinson     4069.47,     Padre: 7
Sabrina Robinson   Id empleado: 72,     Datos: Celina Campbell     4004.33,     Padre: 27
Celina Campbell   Id empleado: 162,     Datos: Adelaide Fenton     3539.56,     Padre: 72
Adelaide Fenton   Id empleado: 343,     Datos: Sebastian Collins     3877.02,     Padre: 162
Adelaide Fenton   Id empleado: 344,     Datos: Benny Emmott     4326.99,     Padre: 162
Adelaide Fenton   Id empleado: 345,     Datos: Bart Mcleod     3588.32,     Padre: 162
Celina Campbell   Id empleado: 163,     Datos: Havana Whitmore     2705.17,     Padre: 72
Havana Whitmore   Id empleado: 346,     Datos: Bob Edley     3184.66,     Padre: 163
Havana Whitmore   Id empleado: 347,     Datos: Phoebe Haines     4312.08,     Padre: 163
